keyword,tech_1,tech_1_confidence,tech_2,tech_2_confidence,notes
Agent,Launch Agent,0.31,Launchctl,0.15,Create or Modify System Process (confidence: 0.15); Plist File Modification (confidence: 0.08); Non-Standard Port (confidence: 0.08); SSH Hijacking (confidence: 0.08); Launch Daemon (confidence: 0.08); Login Hook (confidence: 0.08)
upload,Upload Tool,0.3,Upload Malware,0.3,Drive-by Target (confidence: 0.1); Stage Capabilities (confidence: 0.1); BITS Jobs (confidence: 0.1); Multi-Stage Channels (confidence: 0.1)
Media,Spearphishing Service,0.11,Phishing for Information,0.05,Hardware Additions (confidence: 0.05); External Defacement (confidence: 0.05); Email Accounts (confidence: 0.05); Social Media Accounts (confidence: 0.05); Gather Victim Identity Information (confidence: 0.05); Email Addresses (confidence: 0.05); Employee Names (confidence: 0.05); Gather Victim Org Information (confidence: 0.05); Business Relationships (confidence: 0.05); Determine Physical Locations (confidence: 0.05); Identify Business Tempo (confidence: 0.05); Identify Roles (confidence: 0.05); Gather Victim Host Information (confidence: 0.05); Search Open Websites/Domains (confidence: 0.05); Social Media (confidence: 0.05); Communication Through Removable Media (confidence: 0.05)
Word,Office Template Macros,0.57,Malicious File,0.14,Dynamic Data Exchange (confidence: 0.14); Office Test (confidence: 0.14)
SQL,SQL Stored Procedures,0.64,Credentials from Web Browsers,0.07,Data from Cloud Storage (confidence: 0.07); Service Stop (confidence: 0.07); Exploit Public-Facing Application (confidence: 0.07); Data from Information Repositories (confidence: 0.07)
page,Web Portal Capture,0.22,Clear Mailbox Data,0.11,Link Target (confidence: 0.11); Sudo and Sudo Caching (confidence: 0.11); Bypass User Account Control (confidence: 0.11); Setuid and Setgid (confidence: 0.11); Outlook Home Page (confidence: 0.11); System Binary Proxy Execution (confidence: 0.11)
server,DHCP Spoofing,0.07,Web Shell,0.04,Service Exhaustion Flood (confidence: 0.03); TFTP Boot (confidence: 0.03); Install Digital Certificate (confidence: 0.03); Reflection Amplification (confidence: 0.02); Distributed Component Object Model (confidence: 0.02); Server Software Component (confidence: 0.02); Clear Linux or Mac System Logs (confidence: 0.02); Forced Authentication (confidence: 0.02); Multi-Stage Channels (confidence: 0.02); Container Administration Command (confidence: 0.02); External Proxy (confidence: 0.02); SSH (confidence: 0.02); Remote Email Collection (confidence: 0.02); OS Exhaustion Flood (confidence: 0.02); Steal Application Access Token (confidence: 0.02); Transport Agent (confidence: 0.01); Compromise Client Software Binary (confidence: 0.01); Steganography (confidence: 0.01); Regsvr32 (confidence: 0.01); Component Object Model (confidence: 0.01); Hybrid Identity (confidence: 0.01); SQL Stored Procedures (confidence: 0.01); Endpoint Denial of Service (confidence: 0.01); Rogue Domain Controller (confidence: 0.01); Exploitation of Remote Services (confidence: 0.01); Browser Extensions (confidence: 0.01); External Remote Services (confidence: 0.01); Non-Application Layer Protocol (confidence: 0.01); Proxy (confidence: 0.01); Data Staged (confidence: 0.01); Application Layer Protocol (confidence: 0.01); Exfiltration Over Alternative Protocol (confidence: 0.01); Data from Network Shared Drive (confidence: 0.01); Network Denial of Service (confidence: 0.01); Dynamic Resolution (confidence: 0.01); Application Exhaustion Flood (confidence: 0.01); Exfiltration to Cloud Storage (confidence: 0.01); Serverless (confidence: 0.01); Multi-Factor Authentication (confidence: 0.01); Login Items (confidence: 0.01); Container API (confidence: 0.01); Build Image on Host (confidence: 0.01); Upload Tool (confidence: 0.01); Upload Malware (confidence: 0.01); SAML Tokens (confidence: 0.01); Scan Databases (confidence: 0.01); Vulnerability Scanning (confidence: 0.01); Scanning IP Blocks (confidence: 0.01); Client Configurations (confidence: 0.01); Software (confidence: 0.01); Hardware (confidence: 0.01); DNS Server (confidence: 0.01); DNS Server (confidence: 0.01); Port Knocking (confidence: 0.01); DNS (confidence: 0.01); Mail Protocols (confidence: 0.01); File Transfer Protocols (confidence: 0.01); Web Protocols (confidence: 0.01); Exfiltration Over Unencrypted Non-C2 Protocol (confidence: 0.01); Exfiltration Over Asymmetric Encrypted Non-C2 Protocol (confidence: 0.01); Exfiltration Over Symmetric Encrypted Non-C2 Protocol (confidence: 0.01); Remote Data Staging (confidence: 0.01); Domain Generation Algorithms (confidence: 0.01); Serverless (confidence: 0.01); Boot or Logon Initialization Scripts (confidence: 0.01)
Server,Clear Network Connection History and Configurations,0.1,SQL Stored Procedures,0.1,SMB/Windows Admin Shares (confidence: 0.06); Forced Authentication (confidence: 0.06); Server (confidence: 0.06); Server (confidence: 0.06); AS-REP Roasting (confidence: 0.06); Data from Information Repositories (confidence: 0.03); Service Stop (confidence: 0.03); Transport Agent (confidence: 0.03); Accessibility Features (confidence: 0.03); Image File Execution Options Injection (confidence: 0.03); Fast Flux DNS (confidence: 0.03); Modify Authentication Process (confidence: 0.03); Cloud Accounts (confidence: 0.03); Escape to Host (confidence: 0.03); IIS Components (confidence: 0.03); MMC (confidence: 0.03); Reversible Encryption (confidence: 0.03); Terminal Services DLL (confidence: 0.03); Cloud Accounts (confidence: 0.03); External Remote Services (confidence: 0.03)
element,SAML Tokens,0.5,Digital Certificates,0.5,
control,Domain Generation Algorithms,0.02,Group Policy Modification,0.02,Dynamic Resolution (confidence: 0.02); Service Execution (confidence: 0.02); Multi-Stage Channels (confidence: 0.02); VNC (confidence: 0.02); Abuse Elevation Control Mechanism (confidence: 0.02); Services Registry Permissions Weakness (confidence: 0.02); Template Injection (confidence: 0.02); Steganography (confidence: 0.02); Proxy (confidence: 0.02); Exfiltration Over Alternative Protocol (confidence: 0.02); Non-Standard Encoding (confidence: 0.01); Standard Encoding (confidence: 0.01); Unix Shell (confidence: 0.01); External Proxy (confidence: 0.01); Junk Data (confidence: 0.01); Internal Proxy (confidence: 0.01); DNS Calculation (confidence: 0.01); Protocol Impersonation (confidence: 0.01); Exfiltration Over Symmetric Encrypted Non-C2 Protocol (confidence: 0.01); Exfiltration Over Bluetooth (confidence: 0.01); Windows File and Directory Permissions Modification (confidence: 0.01); Windows Command Shell (confidence: 0.01); SIP and Trust Provider Hijacking (confidence: 0.01); Exfiltration Over Unencrypted Non-C2 Protocol (confidence: 0.01); Registry Run Keys / Startup Folder (confidence: 0.01); Pre-OS Boot (confidence: 0.01); Transfer Data to Cloud Account (confidence: 0.01); Domain Policy Modification (confidence: 0.01); XSL Script Processing (confidence: 0.01); Traffic Signaling (confidence: 0.01); Remote Access Software (confidence: 0.01); Data Encoding (confidence: 0.01); Exfiltration Over C2 Channel (confidence: 0.01); Exfiltration Over Other Network Medium (confidence: 0.01); Exfiltration Over Asymmetric Encrypted Non-C2 Protocol (confidence: 0.01); Data Obfuscation (confidence: 0.01); DNS Server (confidence: 0.01); Escape to Host (confidence: 0.01); DNS Server (confidence: 0.01); TFTP Boot (confidence: 0.01); Domains (confidence: 0.01); ListPlanting (confidence: 0.01); Stage Capabilities (confidence: 0.01); Network Boundary Bridging (confidence: 0.01); InstallUtil (confidence: 0.01); Data from Cloud Storage (confidence: 0.01); File and Directory Permissions Modification (confidence: 0.01); Domain Trust Modification (confidence: 0.01); Endpoint Denial of Service (confidence: 0.01); Disable Crypto Hardware (confidence: 0.01); Regsvr32 (confidence: 0.01); Regsvcs/Regasm (confidence: 0.01); Data from Configuration Repository (confidence: 0.01); Compiled HTML File (confidence: 0.01); Bootkit (confidence: 0.01); Mshta (confidence: 0.01); Ptrace System Calls (confidence: 0.01); Extra Window Memory Injection (confidence: 0.01); CMSTP (confidence: 0.01); DNS (confidence: 0.01); IIS Components (confidence: 0.01); Rogue Domain Controller (confidence: 0.01); Communication Through Removable Media (confidence: 0.01); Fallback Channels (confidence: 0.01); Socket Filters (confidence: 0.01); Remote Services (confidence: 0.01); Obfuscated Files or Information (confidence: 0.01); Clear Mailbox Data (confidence: 0.01); Serverless (confidence: 0.01); Serverless (confidence: 0.01); Multi-Factor Authentication Request Generation (confidence: 0.01); Odbcconf (confidence: 0.01); Ingress Tool Transfer (confidence: 0.01); Trusted Developer Utilities Proxy Execution (confidence: 0.01); Browser Extensions (confidence: 0.01); System Script Proxy Execution (confidence: 0.01); Login Items (confidence: 0.01); Trusted Relationship (confidence: 0.01); User Execution (confidence: 0.01); Msiexec (confidence: 0.01); Sudo and Sudo Caching (confidence: 0.01); Time Providers (confidence: 0.01); Network Address Translation Traversal (confidence: 0.01); Fast Flux DNS (confidence: 0.01); Compromise Hardware Supply Chain (confidence: 0.01); Hijack Execution Flow (confidence: 0.01); Dead Drop Resolver (confidence: 0.01); Bidirectional Communication (confidence: 0.01); One-Way Communication (confidence: 0.01); Server (confidence: 0.01); Verclsid (confidence: 0.01); Port Knocking (confidence: 0.01); JavaScript (confidence: 0.01); MSBuild (confidence: 0.01); Indicator Blocking (confidence: 0.01); Asymmetric Cryptography (confidence: 0.01); Symmetric Cryptography (confidence: 0.01); Encrypted Channel (confidence: 0.01); Web Protocols (confidence: 0.01); File Transfer Protocols (confidence: 0.01); Malware (confidence: 0.01); Cloud Services (confidence: 0.01); Digital Certificates (confidence: 0.01); ARP Cache Poisoning (confidence: 0.01); Mail Protocols (confidence: 0.01); Web Session Cookie (confidence: 0.01); PubPrn (confidence: 0.01); Linux and Mac File and Directory Permissions Modification (confidence: 0.01); Traffic Duplication (confidence: 0.01); Rename System Utilities (confidence: 0.01); Distributed Component Object Model (confidence: 0.01); Remote Service Session Hijacking (confidence: 0.01); Malware (confidence: 0.01); Direct Network Flood (confidence: 0.01); Exfiltration Over Web Service (confidence: 0.01); AppleScript (confidence: 0.01); Systemd Timers (confidence: 0.01); Digital Certificates (confidence: 0.01); Exfiltration to Code Repository (confidence: 0.01); Exfiltration to Cloud Storage (confidence: 0.01); Exfiltration to Text Storage Sites (confidence: 0.01)
JPEG,Masquerade File Type,1.0,,,
bypass,Bypass User Account Control,0.05,Network Boundary Bridging,0.04,Multi-Factor Authentication (confidence: 0.03); Valid Accounts (confidence: 0.03); Gatekeeper Bypass (confidence: 0.03); Modify Authentication Process (confidence: 0.03); Domain Controller Authentication (confidence: 0.03); Use Alternate Authentication Material (confidence: 0.03); Msiexec (confidence: 0.01); Regsvcs/Regasm (confidence: 0.01); Regsvr32 (confidence: 0.01); Control Panel (confidence: 0.01); Masquerade File Type (confidence: 0.01); Odbcconf (confidence: 0.01); Setuid and Setgid (confidence: 0.01); InstallUtil (confidence: 0.01); Application Access Token (confidence: 0.01); Web Session Cookie (confidence: 0.01); Mshta (confidence: 0.01); Extra Window Memory Injection (confidence: 0.01); Compiled HTML File (confidence: 0.01); CMSTP (confidence: 0.01); Modify Cloud Compute Infrastructure (confidence: 0.01); XSL Script Processing (confidence: 0.01); Rogue Domain Controller (confidence: 0.01); Exploitation for Defense Evasion (confidence: 0.01); Indirect Command Execution (confidence: 0.01); System Binary Proxy Execution (confidence: 0.01); System Script Proxy Execution (confidence: 0.01); Browser Session Hijacking (confidence: 0.01); Access Token Manipulation (confidence: 0.01); Multi-Factor Authentication Interception (confidence: 0.01); Native API (confidence: 0.01); Account Manipulation (confidence: 0.01); PubPrn (confidence: 0.01); Rename System Utilities (confidence: 0.01); Code Signing (confidence: 0.01); Disable or Modify Cloud Firewall (confidence: 0.01); Multi-Factor Authentication Request Generation (confidence: 0.01); Device Registration (confidence: 0.01); Process Argument Spoofing (confidence: 0.01); Resource Forking (confidence: 0.01); HTML Smuggling (confidence: 0.01); Build Image on Host (confidence: 0.01); Deploy Container (confidence: 0.01); SAML Tokens (confidence: 0.01); Web Cookies (confidence: 0.01); Forge Web Credentials (confidence: 0.01); Weaken Encryption (confidence: 0.01); Network Address Translation Traversal (confidence: 0.01); Verclsid (confidence: 0.01); Create Snapshot (confidence: 0.01); SIP and Trust Provider Hijacking (confidence: 0.01); Create Cloud Instance (confidence: 0.01); MSBuild (confidence: 0.01); Non-Standard Port (confidence: 0.01); DNS Calculation (confidence: 0.01); Spearphishing via Service (confidence: 0.01); Spearphishing Attachment (confidence: 0.01); Install Root Certificate (confidence: 0.01); Disable or Modify System Firewall (confidence: 0.01); SID-History Injection (confidence: 0.01); Make and Impersonate Token (confidence: 0.01); Create Process with Token (confidence: 0.01); Token Impersonation/Theft (confidence: 0.01); Hybrid Identity (confidence: 0.01); Direct Volume Access (confidence: 0.01)
suspicious,Clear Mailbox Data,0.17,Device Registration,0.17,Email Hiding Rules (confidence: 0.17); Build Image on Host (confidence: 0.17); Delete Cloud Instance (confidence: 0.17); Domain Policy Modification (confidence: 0.17)
exploitation,Exploitation of Remote Services,0.2,Drive-by Target,0.1,Drive-by Compromise (confidence: 0.1); Exploitation for Client Execution (confidence: 0.1); SNMP (MIB Dump) (confidence: 0.05); Malicious Link (confidence: 0.05); Web Portal Capture (confidence: 0.05); Group Policy Preferences (confidence: 0.05); VNC (confidence: 0.05); Cloud Service Discovery (confidence: 0.05); Exploitation for Credential Access (confidence: 0.05); Exploitation for Defense Evasion (confidence: 0.05); Exploitation for Privilege Escalation (confidence: 0.05); Network Service Discovery (confidence: 0.05)
format,Steal or Forge Kerberos Tickets,0.1,LLMNR/NBT-NS Poisoning and SMB Relay,0.05,Replication Through Removable Media (confidence: 0.05); Template Injection (confidence: 0.05); Trap (confidence: 0.05); Emond (confidence: 0.05); Software Packing (confidence: 0.05); Space after Filename (confidence: 0.05); /etc/passwd and /etc/shadow (confidence: 0.05); Fileless Storage (confidence: 0.05); Masquerade File Type (confidence: 0.05); Credentials from Web Browsers (confidence: 0.05); Archive via Utility (confidence: 0.05); Disk Structure Wipe (confidence: 0.05); Cached Domain Credentials (confidence: 0.05); AppleScript (confidence: 0.05); Plist File Modification (confidence: 0.05); Embedded Payloads (confidence: 0.05); Indicator Removal (confidence: 0.05)
record,Fast Flux DNS,0.3,Downgrade Attack,0.1,NTFS File Attributes (confidence: 0.1); Disable Windows Event Logging (confidence: 0.1); Disk Structure Wipe (confidence: 0.1); Disk Wipe (confidence: 0.1); Clear Windows Event Logs (confidence: 0.1); Video Capture (confidence: 0.1)
arbitrary,Shared Modules,0.06,Change Default File Association,0.04,XSL Script Processing (confidence: 0.04); Ptrace System Calls (confidence: 0.04); Serverless Execution (confidence: 0.04); BITS Jobs (confidence: 0.02); Asynchronous Procedure Call (confidence: 0.02); Process Hollowing (confidence: 0.02); Process Doppelgänging (confidence: 0.02); Extra Window Memory Injection (confidence: 0.02); VDSO Hijacking (confidence: 0.02); Proc Memory (confidence: 0.02); Command and Scripting Interpreter (confidence: 0.02); Thread Local Storage (confidence: 0.02); Thread Execution Hijacking (confidence: 0.02); Indirect Command Execution (confidence: 0.02); Portable Executable Injection (confidence: 0.02); CMSTP (confidence: 0.02); SQL Stored Procedures (confidence: 0.02); Office Template Macros (confidence: 0.02); Office Test (confidence: 0.02); XDG Autostart Entries (confidence: 0.02); Exploitation for Client Execution (confidence: 0.02); Dynamic-link Library Injection (confidence: 0.02); Steal or Forge Authentication Certificates (confidence: 0.02); Windows Management Instrumentation Event Subscription (confidence: 0.02); Netsh Helper DLL (confidence: 0.02); Terminal Services DLL (confidence: 0.02); ListPlanting (confidence: 0.02); Reflective Code Loading (confidence: 0.02); Mavinject (confidence: 0.02); Pluggable Authentication Modules (confidence: 0.02); MSBuild (confidence: 0.02); Protocol Tunneling (confidence: 0.02); NTFS File Attributes (confidence: 0.02); Disk Content Wipe (confidence: 0.02); Disk Wipe (confidence: 0.02); SID-History Injection (confidence: 0.02); Dynamic Data Exchange (confidence: 0.02); Component Object Model (confidence: 0.02); Inter-Process Communication (confidence: 0.02); VNC (confidence: 0.02); Distributed Component Object Model (confidence: 0.02); Port Monitors (confidence: 0.02); PowerShell Profile (confidence: 0.02); Image File Execution Options Injection (confidence: 0.02); Process Injection (confidence: 0.02)
null,Modify Registry,1.0,,,
landing,Drive-by Target,1.0,,,
parameter,PubPrn,0.25,Launch Daemon,0.25,Mavinject (confidence: 0.12); Escape to Host (confidence: 0.12); Parent PID Spoofing (confidence: 0.12); CMSTP (confidence: 0.12)
HTML,HTML Smuggling,0.39,Compiled HTML File,0.3,Mshta (confidence: 0.13); Link Target (confidence: 0.04); JavaScript (confidence: 0.04); Visual Basic (confidence: 0.04); Outlook Home Page (confidence: 0.04)
redirection,External Proxy,0.2,Internal Proxy,0.2,DLL Search Order Hijacking (confidence: 0.2); Proxy (confidence: 0.2); Traffic Duplication (confidence: 0.1); DNS Server (confidence: 0.1)
Symantec,Disk Structure Wipe,0.12,Data Destruction,0.12,Non-Standard Port (confidence: 0.06); LSASS Memory (confidence: 0.06); Code Signing (confidence: 0.06); Subvert Trust Controls (confidence: 0.06); Image File Execution Options Injection (confidence: 0.06); Windows Service (confidence: 0.06); Endpoint Denial of Service (confidence: 0.06); Network Denial of Service (confidence: 0.06); Firmware Corruption (confidence: 0.06); Supply Chain Compromise (confidence: 0.06); Remote Access Software (confidence: 0.06); BITS Jobs (confidence: 0.06); Rootkit (confidence: 0.06)
deleted,Clear Command History,0.67,Account Access Removal,0.33,
data,Data Destruction,0.02,Standard Encoding,0.02,Fileless Storage (confidence: 0.02); Dynamic Data Exchange (confidence: 0.02); Data Encrypted for Impact (confidence: 0.02); Data Staged (confidence: 0.02); Non-Standard Encoding (confidence: 0.02); Remote Data Staging (confidence: 0.02); Data Encoding (confidence: 0.02); Stored Data Manipulation (confidence: 0.02); Clear Mailbox Data (confidence: 0.01); Archive Collected Data (confidence: 0.01); Local Email Collection (confidence: 0.01); Runtime Data Manipulation (confidence: 0.01); WHOIS (confidence: 0.01); Disk Wipe (confidence: 0.01); Data from Configuration Repository (confidence: 0.01); Transfer Data to Cloud Account (confidence: 0.01); Data from Cloud Storage (confidence: 0.01); Archive via Utility (confidence: 0.01); Exfiltration Over Unencrypted Non-C2 Protocol (confidence: 0.01); Data Manipulation (confidence: 0.01); AS-REP Roasting (confidence: 0.01); Extra Window Memory Injection (confidence: 0.01); Archive via Library (confidence: 0.01); Asymmetric Cryptography (confidence: 0.01); Exfiltration Over Asymmetric Encrypted Non-C2 Protocol (confidence: 0.01); Junk Data (confidence: 0.01); Transmitted Data Manipulation (confidence: 0.01); Clipboard Data (confidence: 0.01); Local Data Staging (confidence: 0.01); NTFS File Attributes (confidence: 0.01); Exfiltration to Text Storage Sites (confidence: 0.01); Exfiltration Over Symmetric Encrypted Non-C2 Protocol (confidence: 0.01); Disk Structure Wipe (confidence: 0.01); Digital Certificates (confidence: 0.01); Threat Intel Vendors (confidence: 0.01); Purchase Technical Data (confidence: 0.01); Exfiltration Over Alternative Protocol (confidence: 0.01); HTML Smuggling (confidence: 0.01); Domain Properties (confidence: 0.01); Exfiltration to Cloud Storage (confidence: 0.01); Exfiltration Over Bluetooth (confidence: 0.01); Indicator Removal (confidence: 0.01); Binary Padding (confidence: 0.01); Keychain (confidence: 0.01); Gather Victim Identity Information (confidence: 0.01); Data Transfer Size Limits (confidence: 0.01); Keylogging (confidence: 0.01); Exfiltration Over C2 Channel (confidence: 0.01); Weaken Encryption (confidence: 0.01); Network Sniffing (confidence: 0.01); Network Device Configuration Dump (confidence: 0.01); Exfiltration Over Other Network Medium (confidence: 0.01); Service Stop (confidence: 0.01); Inhibit System Recovery (confidence: 0.01); Automated Collection (confidence: 0.01); Gather Victim Host Information (confidence: 0.01); Disable Windows Event Logging (confidence: 0.01); Rogue Domain Controller (confidence: 0.01); DNS/Passive DNS (confidence: 0.01); Steal Application Access Token (confidence: 0.01); Cloud Instance Metadata API (confidence: 0.01); CDNs (confidence: 0.01); Disk Content Wipe (confidence: 0.01); Gather Victim Network Information (confidence: 0.01); System Information Discovery (confidence: 0.01); Fallback Channels (confidence: 0.0); Data from Removable Media (confidence: 0.0); Remote Services (confidence: 0.0); Automated Exfiltration (confidence: 0.0); Direct Volume Access (confidence: 0.0); Inter-Process Communication (confidence: 0.0); Scheduled Transfer (confidence: 0.0); Archive via Custom Method (confidence: 0.0); Remote System Discovery (confidence: 0.0); Data from Local System (confidence: 0.0); Application Window Discovery (confidence: 0.0); Email Collection (confidence: 0.0); Data from Network Shared Drive (confidence: 0.0); Process Doppelgänging (confidence: 0.0); Web Service (confidence: 0.0); Data from Information Repositories (confidence: 0.0); Supply Chain Compromise (confidence: 0.0); XSL Script Processing (confidence: 0.0); Cloud Service Discovery (confidence: 0.0); Pre-OS Boot (confidence: 0.0); Thread Local Storage (confidence: 0.0); Ptrace System Calls (confidence: 0.0); Additional Cloud Roles (confidence: 0.0); Proc Filesystem (confidence: 0.0); Odbcconf (confidence: 0.0); Application Access Token (confidence: 0.0); Clear Command History (confidence: 0.0); Brute Force (confidence: 0.0); VNC (confidence: 0.0); DCSync (confidence: 0.0); Permission Groups Discovery (confidence: 0.0); Exfiltration Over Physical Medium (confidence: 0.0); Steganography (confidence: 0.0); Services Registry Permissions Weakness (confidence: 0.0); Disable or Modify Tools (confidence: 0.0); Disable or Modify System Firewall (confidence: 0.0); Determine Physical Locations (confidence: 0.0); Identify Business Tempo (confidence: 0.0); Identify Roles (confidence: 0.0); Hardware (confidence: 0.0); Software (confidence: 0.0); Firmware (confidence: 0.0); Client Configurations (confidence: 0.0); Social Media (confidence: 0.0); Search Victim-Owned Websites (confidence: 0.0); Search Closed Sources (confidence: 0.0); Phishing for Information (confidence: 0.0); Disable Cloud Logs (confidence: 0.0); ARP Cache Poisoning (confidence: 0.0); Traffic Duplication (confidence: 0.0); Network Boundary Bridging (confidence: 0.0); Network Address Translation Traversal (confidence: 0.0); Reduce Key Space (confidence: 0.0); Disable Crypto Hardware (confidence: 0.0); Network Device CLI (confidence: 0.0); Mark-of-the-Web Bypass (confidence: 0.0); System Language Discovery (confidence: 0.0); Resource Forking (confidence: 0.0); Process Argument Spoofing (confidence: 0.0); Device Registration (confidence: 0.0); Wordlist Scanning (confidence: 0.0); Debugger Evasion (confidence: 0.0); Clear Network Connection History and Configurations (confidence: 0.0); Code Repositories (confidence: 0.0); Socket Filters (confidence: 0.0); Business Relationships (confidence: 0.0); Gather Victim Org Information (confidence: 0.0); Network Security Appliances (confidence: 0.0); Mail Protocols (confidence: 0.0); Time Based Evasion (confidence: 0.0); Exfiltration Over Web Service (confidence: 0.0); Exfiltration to Code Repository (confidence: 0.0); Exfiltration over USB (confidence: 0.0); Compromise Software Dependencies and Development Tools (confidence: 0.0); Compromise Software Supply Chain (confidence: 0.0); Compromise Hardware Supply Chain (confidence: 0.0); Cloud Accounts (confidence: 0.0); Non-Standard Port (confidence: 0.0); Steganography (confidence: 0.0); Protocol Tunneling (confidence: 0.0); Web Protocols (confidence: 0.0); File Transfer Protocols (confidence: 0.0); DNS (confidence: 0.0); IP Addresses (confidence: 0.0); Create Snapshot (confidence: 0.0); Revert Cloud Instance (confidence: 0.0); Disable or Modify Cloud Firewall (confidence: 0.0); Hidden File System (confidence: 0.0); Cloud Infrastructure Discovery (confidence: 0.0); VBA Stomping (confidence: 0.0); Domains (confidence: 0.0); Credentials (confidence: 0.0); Email Addresses (confidence: 0.0); Employee Names (confidence: 0.0); DNS (confidence: 0.0); Network Trust Dependencies (confidence: 0.0); Network Topology (confidence: 0.0); Data Obfuscation (confidence: 0.0)
Network,Network Sniffing,0.06,Network Denial of Service,0.06,Reflection Amplification (confidence: 0.05); Traffic Duplication (confidence: 0.03); Multi-hop Proxy (confidence: 0.03); Adversary-in-the-Middle (confidence: 0.03); System Network Connections Discovery (confidence: 0.03); Network Provider DLL (confidence: 0.03); Network Address Translation Traversal (confidence: 0.03); System Owner/User Discovery (confidence: 0.03); Patch System Image (confidence: 0.03); Network Device Configuration Dump (confidence: 0.03); System Network Configuration Discovery (confidence: 0.03); Exploitation of Remote Services (confidence: 0.02); Resource Hijacking (confidence: 0.02); Endpoint Denial of Service (confidence: 0.02); Traffic Signaling (confidence: 0.02); Exploit Public-Facing Application (confidence: 0.02); File and Directory Discovery (confidence: 0.02); Password Policy Discovery (confidence: 0.02); System Time Discovery (confidence: 0.02); Network Logon Script (confidence: 0.02); System Information Discovery (confidence: 0.02); Process Discovery (confidence: 0.02); Remote System Discovery (confidence: 0.02); System Shutdown/Reboot (confidence: 0.02); VNC (confidence: 0.02); Local Account (confidence: 0.02); Exfiltration Over Symmetric Encrypted Non-C2 Protocol (confidence: 0.02); DHCP Spoofing (confidence: 0.02); SNMP (MIB Dump) (confidence: 0.02); Reduce Key Space (confidence: 0.02); ARP Cache Poisoning (confidence: 0.02); Scanning IP Blocks (confidence: 0.02); SSH Authorized Keys (confidence: 0.02); Exfiltration Over Asymmetric Encrypted Non-C2 Protocol (confidence: 0.02); Direct Network Flood (confidence: 0.02); Clear Command History (confidence: 0.02); Impair Command History Logging (confidence: 0.02); Disk Structure Wipe (confidence: 0.02); Disk Wipe (confidence: 0.02); LLMNR/NBT-NS Poisoning and SMB Relay (confidence: 0.02); LSASS Memory (confidence: 0.02); Clear Network Connection History and Configurations (confidence: 0.02); Private Keys (confidence: 0.02); Data from Local System (confidence: 0.02)
Cisco,ROMMONkit,0.11,Patch System Image,0.11,Reduce Key Space (confidence: 0.07); Traffic Duplication (confidence: 0.07); Traffic Signaling (confidence: 0.07); Domain Generation Algorithms (confidence: 0.07); Weaken Encryption (confidence: 0.07); Non-Application Layer Protocol (confidence: 0.04); Exploit Public-Facing Application (confidence: 0.04); Data Destruction (confidence: 0.04); Keylogging (confidence: 0.04); Clear Persistence (confidence: 0.04); Network Device CLI (confidence: 0.04); Disable Crypto Hardware (confidence: 0.04); Downgrade System Image (confidence: 0.04); SNMP (MIB Dump) (confidence: 0.04); TFTP Boot (confidence: 0.04); Network Device Configuration Dump (confidence: 0.04); Command and Scripting Interpreter (confidence: 0.04)
handling,Binary Padding,0.5,Trap,0.5,
sandbox,Environmental Keying,0.2,Time Based Evasion,0.2,Virtualization/Sandbox Evasion (confidence: 0.2); User Activity Based Checks (confidence: 0.1); System Checks (confidence: 0.1); Unix Shell Configuration Modification (confidence: 0.1); Execution Guardrails (confidence: 0.1)
IBM,Supply Chain Compromise,1.0,,,
Intelligent,BITS Jobs,1.0,,,
embedded,Embedded Payloads,0.1,VBA Stomping,0.07,XSL Script Processing (confidence: 0.07); Downgrade System Image (confidence: 0.07); Dynamic Data Exchange (confidence: 0.03); Application Layer Protocol (confidence: 0.03); Taint Shared Content (confidence: 0.03); Shared Modules (confidence: 0.03); Traffic Signaling (confidence: 0.03); RC Scripts (confidence: 0.03); Compiled HTML File (confidence: 0.03); Credentials In Files (confidence: 0.03); Group Policy Preferences (confidence: 0.03); Spearphishing Link (confidence: 0.03); User Activity Based Checks (confidence: 0.03); Dead Drop Resolver (confidence: 0.03); Steganography (confidence: 0.03); Web Protocols (confidence: 0.03); File Transfer Protocols (confidence: 0.03); Mail Protocols (confidence: 0.03); DNS (confidence: 0.03); Compile After Delivery (confidence: 0.03); Modify System Image (confidence: 0.03); Command and Scripting Interpreter (confidence: 0.03)
parsing,System Language Discovery,1.0,,,
